,company,alt_company_name,company_location,review_year,country_bean_origin,intra_country_prod,specific_bean_origin_or_bar_name,percent_cocoa,num_ingredients,beans,sugar,sweetener_other,cocoa_butter,vanilla,lecithin,salt,characteristics,rating,continent
29,A. Morin,,France,2016,Sao Tome,0,Agua Grande,0.63,4,1,1,0,1,0,1,0,"sweet, chocolatey, vegetal",3.75,Europe
30,A. Morin,,France,2018,Venezuela,0,Porcelana,0.7,4,1,1,0,1,0,1,0,"alluring aroma, powdery,nutty",3.5,Europe
31,A. Morin,,France,2018,Peru,0,Absolu,0.63,4,1,1,0,1,0,1,0,"sweet, dairy, spice, cocoa",3.75,Europe
32,A. Morin,,France,2021,Mexico,0,La Joya,0.7,4,1,1,0,1,0,1,0,"light color, fruit, yogurt",4.0,Europe
33,Acalli,,U.S.A.,2015,Peru,0,"Chulucanas, El Platanal, batch 001",0.7,2,1,1,0,0,0,0,0,yellow fruit,3.75,North America
34,Acalli,,U.S.A.,2015,Peru,0,"Tumbes, Norandino",0.7,2,1,1,0,0,0,0,0,"intense, nutty, cherry, cocoa",3.75,North America
35,Acalli,,U.S.A.,2020,Mexico,0,"Teapa, Tabasco, batch 2",0.74,2,1,1,0,0,0,0,0,"herbal, molasses, hammy",3.25,North America
36,Acalli,,U.S.A.,2020,Peru,0,"Barataria, El Plantal and Norandino Tumbes blend",0.7,2,1,1,0,0,0,0,0,"hot cocoa, rich, molasses",3.5,North America
37,Adi,Fijiana (Easy In Ltd),Fiji,2011,Fiji,1,Vanua Levu,0.6,3,1,1,0,1,0,0,0,"sweet, sublte strawberry",2.75,Oceania
38,Adi,Fijiana (Easy In Ltd),Fiji,2011,Fiji,1,"Vanua Levu, Toto-A",0.8,3,1,1,0,1,0,0,0,spicy and candy-like,3.25,Oceania
39,Adi,Fijiana (Easy In Ltd),Fiji,2011,Fiji,1,Vanua Levu,0.88,3,1,1,0,1,0,0,0,"orange, floral, lemon",3.5,Oceania
40,Adi,Fijiana (Easy In Ltd),Fiji,2011,Fiji,1,"Vanua Levu, Ami-Ami-CA",0.72,3,1,1,0,1,0,0,0,cocoa and powerful tang,3.5,Oceania
41,Aelan,,Vanuatu,2019,Vanuatu,1,"Malekula Island, batch M10/19",0.7,2,1,1,0,0,0,0,0,"unrefined, sweet, metallic",2.5,Oceania
42,Aelan,,Vanuatu,2019,Vanuatu,1,"Malo Island, batch Ma20/19",0.7,2,1,1,0,0,0,0,0,"basic, sweet, cocoa, woody",2.75,Oceania
43,Aelan,,Vanuatu,2019,Vanuatu,1,"Santo Island, batch S15/19",0.7,2,1,1,0,0,0,0,0,"sweet, cocoa, rubbery",2.75,Oceania
44,Aelan,,Vanuatu,2019,Vanuatu,1,"EPI Island, batch E 11/19",0.7,2,1,1,0,0,0,0,0,"sandy, woody, spicy, sweet",3.0,Oceania
45,Aequare (Gianduja),,Ecuador,2009,Ecuador,1,"Los Rios, Quevedo, Arriba",0.55,4,1,1,0,1,1,0,0,"sandy, sweet, banana cream",2.75,South America
46,Aequare (Gianduja),,Ecuador,2009,Ecuador,1,"Los Rios, Quevedo, Arriba",0.7,4,1,1,0,1,1,0,0,"roasty, nutty, coffee",3.0,South America
47,Ah Cacao,,Mexico,2009,Mexico,1,Tabasco,0.7,3,1,1,0,1,0,0,0,"gritty, spice, cocoa",3.0,North America
48,Akesson's (Pralus),,U.K.,2010,Madagascar,0,"Madagascar, Ambolikapiky P.",0.75,4,1,1,0,1,0,1,0,"strong pepper, musty",2.75,Europe
49,Akesson's (Pralus),,U.K.,2010,Brazil,0,"Monte Alegre, D. Badero",0.75,4,1,1,0,1,0,1,0,"fatty, intense, woody",2.75,Europe
50,Akesson's (Pralus),,U.K.,2011,Indonesia,0,"Bali (west), Sukrama Family, Melaya area",0.75,4,1,1,0,1,0,1,0,"hay, nut, berry",3.75,Europe
51,Alain Ducasse,,France,2013,Venezuela,0,Chuao,0.75,5,1,1,0,1,1,1,0,"sandy, dirt, ashey",2.5,Europe
52,Alain Ducasse,,France,2013,Peru,0,"Piura, Perou",0.75,5,1,1,0,1,1,1,0,"cardboard, dirt, roasty",2.5,Europe
53,Alain Ducasse,,France,2014,Trinidad,0,Trinite,0.65,6,1,1,0,1,1,1,1,"roasty, sweet, savory",2.75,Europe
54,Alain Ducasse,,France,2014,Vietnam,0,Vietnam,0.75,5,1,1,0,1,1,0,1,"nutty, roasty, odd dairy",2.75,Europe
55,Alain Ducasse,,France,2014,Madagascar,0,Madagascar,0.75,5,1,1,0,1,1,0,1,"citrus, fatty, dairy",3.0,Europe
56,Alain Ducasse,,France,2017,Mexico,0,"Porcelana, Mexique",0.75,6,1,1,0,1,1,1,1,"strawberry, cream, gateway",3.5,Europe
57,Alexandre,,Netherlands,2017,Ecuador,0,"Winak Coop, Napo",0.7,3,1,1,0,1,0,0,0,"sandy, green, floral",3.5,Europe
58,Alexandre,,Netherlands,2017,Nicaragua,0,"La Dalia, Matagalpa",0.7,3,1,1,0,1,0,0,0,"sandy, sweet, nibby",3.5,Europe
59,Alexandre,,Netherlands,2017,Tanzania,0,"Makwale Village, Kyela",0.7,3,1,1,0,1,0,0,0,"sandy, melon, banana",3.5,Europe
60,Alexandre,,Netherlands,2017,Vietnam,0,Tien Giang,0.7,3,1,1,0,1,0,0,0,"sandy, sweet, roasty",3.5,Europe
61,Altus,Cao Artisan,U.S.A.,2013,Venezuela,0,Sur del Lago,0.6,4,1,1,0,1,0,1,0,"sweet, moldy, off",2.5,North America
62,Altus,Cao Artisan,U.S.A.,2013,Dominican Republic,0,"Conacado, batch 130",0.6,4,1,1,0,1,0,1,0,"sandy, sweet, dairy, spice",3.0,North America
63,Altus,Cao Artisan,U.S.A.,2013,Bolivia,0,"Bolivia, batch 154",0.6,4,1,1,0,1,0,1,0,"grit, sweet, caramel, fruit",3.0,North America
64,Altus,Cao Artisan,U.S.A.,2013,Bolivia,0,"Bolivia, batch 101",0.8,4,1,1,0,1,0,1,0,"gritty, berry, mild bitter",3.25,North America
65,Altus,Cao Artisan,U.S.A.,2013,Peru,0,"Peru, batch 148",0.6,4,1,1,0,1,0,1,0,"gritty, too sweet, fruit",3.25,North America
66,Altus,Cao Artisan,U.S.A.,2016,Bolivia,0,CIAAB Coop,0.6,3,1,1,0,1,0,0,0,"sandy, sweet, pungent",2.5,North America
67,Altus,Cao Artisan,U.S.A.,2016,Peru,0,Villa Andina,0.6,3,1,1,0,1,0,0,0,"sandy, sweet, sour, off",2.5,North America
68,Altus,Cao Artisan,U.S.A.,2016,Nicaragua,0,Momotombo,0.6,3,1,1,0,1,0,0,0,"powdery, sweet, molasses",2.75,North America
69,Altus,Cao Artisan,U.S.A.,2016,Ecuador,0,Gruppo Salinas,0.6,3,1,1,0,1,0,0,0,"sandy, nutty, earthy, roasty",2.75,North America
70,Altus,Cao Artisan,U.S.A.,2016,Peru,0,Acopagro,0.6,3,1,1,0,1,0,0,0,"dry, sweet, caramel",3.0,North America
71,Altus,Cao Artisan,U.S.A.,2018,Dominican Republic,0,Oko Caribe,0.7,3,1,1,0,1,0,0,0,"sweet, coarse, nutty",3.0,North America
72,Amano,,U.S.A.,2007,Venezuela,0,Cuyagua,0.7,4,1,1,0,1,1,0,0,"waxy, nutty, mint",3.0,North America
73,Amano,,U.S.A.,2007,Madagascar,0,Madagascar,0.7,4,1,1,0,1,1,0,0,"spice, nut, cocoa, fruit",3.5,North America
74,Amano,,U.S.A.,2007,Venezuela,0,Ocumare,0.7,4,1,1,0,1,1,0,0,"spicy, strawberry",3.75,North America
75,Amano,,U.S.A.,2008,Indonesia,0,"Bali, Jembrana",0.7,4,1,1,0,1,1,0,0,"sticky, nutty, high acidity",2.75,North America
76,Amano,,U.S.A.,2009,Venezuela,0,Montanya,0.7,4,1,1,0,1,1,0,0,"hot spice, roasty",3.0,North America
77,Amano,,U.S.A.,2010,Venezuela,0,Chuao,0.7,4,1,1,0,1,1,0,0,"woody, red berry, sour",3.0,North America
78,Amano,,U.S.A.,2010,Dominican Republic,0,Dos Rios,0.7,4,1,1,0,1,1,0,0,"orange, cinamon",3.75,North America
79,Amano,,U.S.A.,2010,Ecuador,0,Guayas,0.7,4,1,1,0,1,1,0,0,"strong spice, intense pepper",4.0,North America
80,Amano,,U.S.A.,2011,Papua New Guinea,0,Morobe,0.7,4,1,1,0,1,1,0,0,"tart, lemon, smoke",4.0,North America
81,Amatller (Simon Coll),,Spain,2009,Ecuador,0,Ecuador,0.7,2,1,1,0,0,0,0,0,"waxy mouthfeel, spicy",2.75,Europe
82,Amatller (Simon Coll),,Spain,2009,Ecuador,0,Ecuador,0.85,2,1,1,0,0,0,0,0,"fatty, mushroom, off notes",2.75,Europe
83,Amatller (Simon Coll),,Spain,2009,Ghana,0,Ghana,0.7,2,1,1,0,0,0,0,0,"dry, chalky, fudge-like",3.0,Europe
84,Amatller (Simon Coll),,Spain,2009,Ghana,0,Ghana,0.85,2,1,1,0,0,0,0,0,"roasty,oddly sweet,marshmallow",3.0,Europe
85,Amazing Cacao,,Russia,2017,Peru,0,Maranon,0.7,0,0,0,0,0,0,0,0,"raisins, pungent",3.0,Asia
86,Amazing Cacao,,Russia,2017,Peru,0,Platan Bajo,0.7,0,0,0,0,0,0,0,0,"few grits, blackcherry, licorice",3.5,Asia
87,Amazona,,Peru,2013,Peru,1,"LamasdelChanka, San Martin, Oro Verde coop",0.72,3,1,1,0,1,0,0,0,"oily, vanilla, melon, cocoa",3.25,South America
88,Amazona,,Peru,2013,Peru,1,"Bellavista Gran Pajeten, San Martin",0.73,3,1,1,0,1,0,0,0,"oily, vegetal, nutty, cocoa",3.5,South America
89,Ambrosia,,Canada,2015,Belize,0,Belize,0.64,4,1,1,0,1,0,1,0,"roasty, brownie, nutty",3.0,North America
90,Ambrosia,,Canada,2015,Madagascar,0,Madagascar,0.66,2,1,1,0,0,0,0,0,"fruity, sour",3.25,North America
91,Ambrosia,,Canada,2015,Dominican Republic,0,Dominican Republic,0.75,2,1,1,0,0,0,0,0,"high roast, high astringnet",3.25,North America
92,Ambrosia,,Canada,2015,Papua New Guinea,0,Papua New Guinea,0.63,2,1,1,0,0,0,0,0,"smokey, savory",3.25,North America
93,Ambrosia,,Canada,2015,Venezuela,0,Venezuela,0.7,2,1,1,0,0,0,0,0,"sandy, roasty, nutty",3.25,North America
94,Ambrosia,,Canada,2015,Peru,0,Peru,0.68,2,1,1,0,0,0,0,0,"rich, sour, mild smoke",3.5,North America
95,Amedei,,Italy,2006,Blend,0,Toscano Black,0.66,4,1,1,0,1,1,0,0,"red wine, rich cocoa, long",3.75,Europe
96,Amedei,,Italy,2007,Ecuador,0,Ecuador,0.7,4,1,1,0,1,1,0,0,"creamy, earthy, vegetal",3.0,Europe
97,Amedei,,Italy,2007,Jamaica,0,Jamaica,0.7,4,1,1,0,1,1,0,0,"sandy, woody, spicy",3.0,Europe
98,Amedei,,Italy,2007,Grenada,0,Grenada,0.7,4,1,1,0,1,1,0,0,fruity with coffee notes,3.5,Europe
99,Amedei,,Italy,2007,Trinidad,0,Trinidad,0.7,4,1,1,0,1,1,0,0,"coffee, fruit, woodsy",3.5,Europe
100,Amedei,,Italy,2007,Blend,0,Toscano Black,0.63,4,1,1,0,1,1,0,0,"fatty, dairy, caramel, cocoa",3.5,Europe
101,Amedei,,Italy,2007,Venezuela,0,Venezuela,0.7,4,1,1,0,1,1,0,0,"creamy, fruit, cocoa",3.75,Europe
102,Amedei,,Italy,2012,Peru,0,"Piura, Blanco de Criollo",0.7,4,1,1,0,1,1,0,0,"creamy, raspberry, nutty",3.75,Europe
103,Amedei,,Italy,2018,Madagascar,0,Madagascar,0.7,4,1,1,0,1,1,0,0,"vanilla, mint, roasty",3.0,Europe
104,Amedei,,Italy,2018,Venezuela,0,Chuao,0.7,4,1,1,0,1,1,0,0,"vanilla, nuts, roasty",3.0,Europe
105,Amedei,,Italy,2018,Venezuela,0,Porcelana,0.7,4,1,1,0,1,1,0,0,"nutty, mild roasty, vanilla",3.0,Europe
106,Amedei,,Italy,2018,Blend,0,Nine,0.75,4,1,1,0,1,1,0,0,"sweet, delicate, complex",3.5,Europe
107,Amedei,,Italy,2019,Blend,0,Toscano Black,0.7,3,1,1,0,1,0,0,0,"nut, fatty, rubbery, rich",2.75,Europe
108,AMMA,,Brazil,2010,Brazil,1,"Monte Alegre, 3 diff. plantations",0.85,4,1,1,0,1,0,1,0,"creamy, red berry, bitter",2.75,South America
109,AMMA,,Brazil,2010,Brazil,1,"Monte Alegre, 3 diff. plantations",0.5,4,1,1,0,1,0,1,0,"very sweet, bright red, banana",3.75,South America
110,AMMA,,Brazil,2010,Brazil,1,"Monte Alegre, 3 diff. plantations",0.75,4,1,1,0,1,0,1,0,"roasty, fatty, nutty, coffee",3.75,South America
111,AMMA,,Brazil,2010,Brazil,1,"Monte Alegre, 3 diff. plantations",0.6,4,1,1,0,1,0,1,0,"creamy, sweet,cocoa,banana",4.0,South America
112,AMMA,,Brazil,2013,Brazil,1,Catongo,0.75,4,1,1,0,1,0,1,0,"grainy, sweet, poor aftertaste",3.25,South America
113,Anahata,,U.S.A.,2014,Dominican Republic,0,Elvesia,0.75,2,1,1,0,0,0,0,0,"chalky, mild fruit, burnt",3.0,North America
114,Animas,,U.S.A.,2016,Bolivia,0,Alto Beni,0.75,2,1,1,0,0,0,0,0,"light roast, caramel, cocoa",3.5,North America
115,Animas,,U.S.A.,2021,Belize,0,"Maya Mountain, batch 39",0.75,2,1,1,0,0,0,0,0,"burnt toast, cherry",3.0,North America
116,Animas,,U.S.A.,2021,Guatemala,0,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",0.75,2,1,1,0,0,0,0,0,"orange citrus, harsh earthiness",3.25,North America
117,Ara,,France,2014,Mexico,0,Chiapas,0.72,3,1,1,0,1,0,0,0,"earthy, sour milk, leather",2.5,Europe
118,Ara,,France,2014,Ecuador,0,Equateur,0.75,3,1,1,0,1,0,0,0,"bitter, floral, leather",2.75,Europe
119,Ara,,France,2014,Madagascar,0,Madagascar,0.75,3,1,1,0,1,0,0,0,"sandy, fruity, short",3.0,Europe
120,Ara,,France,2014,Venezuela,0,Trincheras,0.75,3,1,1,0,1,0,0,0,"nutty, mild spice, mild earthy",3.0,Europe
121,Arete,,U.S.A.,2015,Brazil,0,Fazenda Camboa,0.75,2,1,1,0,0,0,0,0,"floral, chemical off",2.75,North America
122,Arete,,U.S.A.,2015,Guatemala,0,Guatemala,0.7,2,1,1,0,0,0,0,0,"strawberry, butterscotch, off",3.25,North America
123,Arete,,U.S.A.,2015,Brazil,0,Fazenda Camboa,0.7,2,1,1,0,0,0,0,0,"creamy, rich, rum, roasty",3.5,North America
124,Arete,,U.S.A.,2015,Peru,0,Nacional,0.68,2,1,1,0,0,0,0,0,"floral, nutty, rich cocoa",3.5,North America
125,Arete,,U.S.A.,2015,Dominican Republic,0,Oko Caribe,0.7,2,1,1,0,0,0,0,0,"spicy, brownie, nutty",3.5,North America
126,Arete,,U.S.A.,2015,Ecuador,0,Camino Verde,0.75,3,1,1,0,1,0,0,0,"intense, floral, bourbon",3.5,North America
127,Arete,,U.S.A.,2015,Ecuador,0,"Puerto Quito, heirloom",0.7,2,1,1,0,0,0,0,0,"spicy, cocoa",3.75,North America
128,Arete,,U.S.A.,2015,Belize,0,Maya Mountain,0.7,2,1,1,0,0,0,0,0,"floral, strawberry, metallic",3.75,North America
129,Arete,,U.S.A.,2015,Nicaragua,0,Chuno,0.7,2,1,1,0,0,0,0,0,"creamy,sticky, peanut butter",4.0,North America
130,Arete,,U.S.A.,2016,Ecuador,0,Hacienda Victoria,0.7,3,1,1,0,1,0,0,0,"sticky, floral, roasty",3.25,North America
131,Arete,,U.S.A.,2016,Ecuador,0,Costa Esmeraldas,0.7,3,1,1,0,1,0,0,0,"chewy, mild floral",3.25,North America
132,Arete,,U.S.A.,2016,Fiji,0,Matasawalevu,0.7,2,1,1,0,0,0,0,0,"smoke, hammy, cocoa base",3.25,North America
133,Arete,,U.S.A.,2016,Vietnam,0,Lam Dong,0.73,2,1,1,0,0,0,0,0,"earthy, nutty, cardboard",3.25,North America
134,Arete,,U.S.A.,2016,Trinidad,0,San Juan,0.7,2,1,1,0,0,0,0,0,"delicate, simple",3.5,North America
135,Arete,,U.S.A.,2016,Vietnam,0,Tien Giang,0.73,3,1,1,0,1,0,0,0,"cashew, roasty, chunky melt",3.5,North America
136,Arete,,U.S.A.,2016,Guatemala,0,Lachua,0.7,2,1,1,0,0,0,0,0,"subtle, mysterious",3.5,North America
137,Arete,,U.S.A.,2016,Honduras,0,"La Masica, FHIA",0.7,2,1,1,0,0,0,0,0,"nutty, green",3.5,North America
138,Arete,,U.S.A.,2016,Tanzania,0,Kokoa Kamili,0.7,2,1,1,0,0,0,0,0,"appealing smoke, woody",3.75,North America
139,Arete,,U.S.A.,2016,Nicaragua,0,Rugoso,0.7,3,1,1,0,1,0,0,0,"muddy, rich cocoa, raspberry",3.75,North America
140,Arete,,U.S.A.,2016,Dominican Republic,0,Elvesia,0.7,2,1,1,0,0,0,0,0,"dark berry, chocolatey",3.75,North America
141,Arete,,U.S.A.,2016,Costa Rica,0,"Coto Brus, Terciopelo",0.7,2,1,1,0,0,0,0,0,"balanced, cherry, choco",4.0,North America
142,Arete,,U.S.A.,2016,Peru,0,Phantom,0.7,2,1,1,0,0,0,0,0,"creamy, complex, balanced",4.0,North America
143,Arete,,U.S.A.,2017,India,0,Anamalai,0.7,2,1,1,0,0,0,0,0,"slight roasty, basic cocoa",3.5,North America
144,Arete,,U.S.A.,2017,Madagascar,0,Sambirano Valley,0.7,3,1,1,0,1,0,0,0,sour fruit,3.5,North America
145,Arete,,U.S.A.,2017,Vietnam,0,Ben Tre,0.73,3,1,1,0,1,0,0,0,"rich cocoa, mild roasty",3.5,North America
146,Arete,,U.S.A.,2017,Peru,0,Ucayali,0.7,3,1,1,0,1,0,0,0,"dried fruit, fig, anise",3.5,North America
147,Arete,,U.S.A.,2017,Bolivia,0,Beniano,0.7,2,1,1,0,0,0,0,0,"creamy, bright fruit",4.0,North America
148,Arete,,U.S.A.,2017,Haiti,0,Pisa,0.7,2,1,1,0,0,0,0,0,"long lasting, cocoa",4.0,North America
149,Arete,,U.S.A.,2018,Trinidad,0,Ramnath E.,0.7,2,1,1,0,0,0,0,0,"nuts, dried fruit, short",3.0,North America
150,Arete,,U.S.A.,2018,Colombia,0,Tumaco,0.7,2,1,1,0,0,0,0,0,"smooth, nutty, cocoa",4.0,North America
151,Arete,,U.S.A.,2019,India,0,Idukki,0.7,3,1,1,0,1,0,0,0,"burn butterscotch, rubbery",3.0,North America
152,Arete,,U.S.A.,2019,India,0,Jangareddygudem,0.7,3,1,1,0,1,0,0,0,"herbs, mushroom, acidic",3.25,North America
153,Argencove,,Nicaragua,2018,Nicaragua,1,Apoyo,0.7,2,1,1,0,0,0,0,0,"cocoa, earthy, hammy",3.0,North America
154,Argencove,,Nicaragua,2018,Nicaragua,1,Masaya,0.7,2,1,1,0,0,0,0,0,"melon, late hammy",3.25,North America
155,Argencove,,Nicaragua,2018,Nicaragua,1,Mombacho,0.7,2,1,1,0,0,0,0,0,"smooth, vegetal",3.5,North America
156,Argencove,,Nicaragua,2018,Nicaragua,1,Cocibolca,0.7,2,1,1,0,0,0,0,0,"roasty, rich cocoa",3.5,North America
157,Artisan du Chocolat,,U.K.,2008,Congo,0,Congo,0.72,3,1,1,0,1,0,0,0,"spicy, minty, vegetal",3.75,Europe
158,Artisan du Chocolat,,U.K.,2009,Brazil,0,Brazil Rio Doce,0.72,3,1,1,0,1,0,0,0,"cocoa, dominate off note",1.75,Europe
159,Artisan du Chocolat,,U.K.,2009,Venezuela,0,"Ocumare, Venezuela",0.75,3,1,1,0,1,0,0,0,"oily, nutty, burnt, sour",2.5,Europe
160,Artisan du Chocolat,,U.K.,2009,Indonesia,0,Java,0.72,3,1,1,0,1,0,0,0,"gritty, very smokey, sour",2.75,Europe
161,Artisan du Chocolat,,U.K.,2009,Madagascar,0,Madagascar,0.8,3,1,1,0,1,0,0,0,"sl. bitter, cherry, rich",3.0,Europe
162,Artisan du Chocolat,,U.K.,2009,Peru,0,Peru,0.75,3,1,1,0,1,0,0,0,"spicey, mild metallic",3.0,Europe
163,Artisan du Chocolat,,U.K.,2009,Dominican Republic,0,Dominican Republic,0.72,3,1,1,0,1,0,0,0,"spice, cocoa, short",3.25,Europe
164,Artisan du Chocolat,,U.K.,2010,Venezuela,0,Venezuela,1.0,0,0,0,0,0,0,0,0,"very nutty, very bitter",1.75,Europe
165,Artisan du Chocolat,,U.K.,2010,Costa Rica,0,Costa Rica,0.72,3,1,1,0,1,0,0,0,"chewy, grassy, nutty",3.25,Europe
166,Artisan du Chocolat,,U.K.,2010,Vietnam,0,Ba Ria Vung Tau Province,0.72,3,1,1,0,1,0,0,0,"unrefined, distinct spicey",3.25,Europe
167,Artisan du Chocolat,,U.K.,2010,Indonesia,0,Bali,0.72,3,1,1,0,1,0,0,0,black pepper and banana,3.5,Europe
168,Artisan du Chocolat,,U.K.,2010,Jamaica,0,Jamaica,0.72,3,1,1,0,1,0,0,0,"grassy, black licorice, mint",3.75,Europe
169,Artisan du Chocolat,,U.K.,2011,Panama,0,Panama,0.72,3,1,1,0,1,0,0,0,"blackpepper,chemical,rubber",2.75,Europe
170,Artisan du Chocolat,,U.K.,2011,Haiti,0,Haiti,0.72,3,1,1,0,1,0,0,0,"nuts, butterscotch, brownie",4.0,Europe
171,Artisan du Chocolat,,U.K.,2012,Colombia,0,"Colombia, Casa Luker",0.72,3,1,1,0,1,0,0,0,"marshmallow, roasty, nutty",3.75,Europe
172,Artisan du Chocolat,,U.K.,2013,Trinidad,0,"Trinidad, Heritage, Limited ed.",0.72,3,1,1,0,1,0,0,0,"gritty, nutty",3.25,Europe
173,Artisan du Chocolat (Casa Luker),,U.K.,2013,Colombia,0,"Orinoqua Region, Arauca",0.72,4,1,1,0,1,0,1,0,"creamy, marshmallow, off",2.75,Europe
174,Aruntam,,Italy,2021,India,0,"Idukki Kerala, lot IN728221",0.72,4,1,1,0,1,0,1,0,"cinamon, nutmeg, fatty",3.25,Europe
175,Aruntam,,Italy,2021,Madagascar,0,"Bejofo E., Akesson, lot MA72820",0.72,4,1,1,0,1,0,1,0,"strawberry, sour",3.25,Europe
176,Aruntam,,Italy,2021,Tanzania,0,"Kokoa Kamili, lot TZ72199",0.72,4,1,1,0,1,0,1,0,"caramel, sour milk",3.5,Europe
177,Askinosie,,U.S.A.,2007,Mexico,0,Xoconusco,0.75,2,1,1,0,0,0,0,0,"leather, black licorice, off",2.5,North America
178,Askinosie,,U.S.A.,2007,Ecuador,0,San Jose del Tambo,0.7,2,1,1,0,0,0,0,0,"smooth, astringent, cocoa",3.0,North America
179,Askinosie,,U.S.A.,2009,Philippines,0,Davao,0.77,2,1,1,0,0,0,0,0,"strawberries, mild tart, roasty",3.75,North America
180,Askinosie,,U.S.A.,2011,Tanzania,0,"Tenende, Uwate",0.72,2,1,1,0,0,0,0,0,"creamy, woody, cocoa",3.75,North America
181,Askinosie,,U.S.A.,2011,Honduras,0,Cortes,0.7,2,1,1,0,0,0,0,0,"grapes, woody, roasty",3.75,North America
182,Askinosie,,U.S.A.,2016,Tanzania,0,Mababa,0.68,3,1,1,0,1,0,0,0,"creamy, rich, blueberry",3.75,North America
